surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Kerkez,Liverpool,DEF,55,9.0,2.07,39.49122807017544,-5.265497076023392,2.337260401624507,57.0,4.0,108.63299139577654
Jensen,Brentford,MID,55,11.05,18.18,5.8921052631578945,-0.0,9.058114179328697,62.0,1.0,107.18021944248659
Justin,Leeds,DEF,45,10.98,3.4799999999999995,24.354385964912282,-5.535087719298247,15.699039453219351,49.0,9.0,106.97833769883339
Tonali,Spurs,MID,55,8.75,8.61,7.409356725146199,-0.0,16.90429314734807,62.0,2.0,105.67364987249427
Eze,Arsenal,MID,65,25.9,7.98,12.125730994152047,-0.0,0.6138590713064446,51.0,8.0,105.61959006545848
Mykolenko,Everton,DEF,45,1.6800000000000002,7.38,24.22573099415205,-7.786842105263159,11.319991499778817,66.0,2.0,104.81888038866771
Beto,Everton,FWD,55,35.6,0.6900000000000001,0.0,-0.0,0.2394759606236677,53.0,15.0,104.52947596062367
Burn,Newcastle,DEF,50,6.48,1.08,23.10526315789474,-5.776315789473685,21.573274056094096,53.0,5.0,104.46222142451515
Yeremy,Crystal Palace,MID,55,22.650000000000002,18.36,4.245029239766081,-0.0,3.009511248861683,53.0,3.0,104.26454048862777
C.Jones,Liverpool,MID,55,11.05,8.31,8.43421052631579,-0.0,18.44882735195517,52.0,6.0,104.24303787827095
Igor Jesus,Nott'm Forest,FWD,60,25.92,3.7800000000000002,0.0,-0.0,0.2126424039307075,61.0,13.0,103.9126424039307
Konsa,Aston Villa,DEF,45,7.62,1.77,21.29824561403509,-2.662280701754386,4.829154615409691,68.0,3.0,103.85511952769039
Botman,Newcastle,DEF,50,10.379999999999999,2.58,19.305263157894736,-4.826315789473684,25.04546230674724,45.0,6.0,103.4844096751683
Bijol,Leeds,DEF,50,5.4,2.25,24.290058479532163,-5.5204678362573105,24.994138860489347,46.0,6.0,103.4137295037642
Romero,Spurs,DEF,50,8.34,3.75,21.859649122807014,-3.8254385964912276,19.78646487573008,43.0,10.0,102.91067540204587
Doku,Man City,MID,75,14.350000000000001,17.580000000000002,6.221052631578947,-0.0,1.2045352162943344,48.0,15.0,102.35558784787328
Gomes,Aston Villa,MID,55,5.75,4.0200000000000005,3.8719298245614038,-0.0,16.359902723753628,66.0,6.0,102.00183254831504
Šeško,Man Utd,FWD,70,36.84,0.8400000000000001,0.0,-0.0,0.011393560377651182,44.0,19.0,100.69139356037766
Barry,Everton,FWD,55,32.68,1.32,0.0,-0.0,0.012467641002717272,57.0,9.0,100.01246764100271
Buendía,Aston Villa,MID,60,16.9,6.6899999999999995,3.075438596491228,-0.0,12.320522418895633,51.0,10.0,99.98596101538686
Iwobi,Fulham,MID,55,9.549999999999999,14.100000000000001,2.8304093567251463,-0.0,2.8489954841454734,57.0,13.0,99.32940484087061
Hall,Newcastle,DEF,50,6.0600000000000005,8.34,22.905263157894733,-5.726315789473683,8.974704195497807,53.0,4.0,97.55365156391886
Berge,Fulham,MID,50,7.7,4.5,3.3964912280701753,-0.0,10.76965347317665,68.0,3.0,97.36614470124682
Woltemade,Newcastle,FWD,60,26.36,4.59,0.0,-0.0,0.22431409149831485,54.0,12.0,97.17431409149832
Wieffer,Brighton,DEF,50,11.52,5.58,20.010526315789473,-3.89093567251462,11.483219199008872,46.0,6.0,96.70280984228373
Bassey,Fulham,DEF,45,10.26,1.0499999999999998,11.845614035087719,-5.182456140350877,11.238023215911307,58.0,9.0,96.21118111064814
Lewis-Potter,Brentford,MID,55,15.049999999999999,7.529999999999999,5.157894736842105,-0.0,4.287567480742124,57.0,5.0,94.02546221758422
Gusto,Chelsea,DEF,50,9.36,8.91,15.824561403508774,-5.93421052631579,1.6479289276897844,57.0,7.0,93.80827980488277
Ayari,Brighton,MID,55,13.5,3.4499999999999997,5.055263157894737,-0.0,15.631062217765638,49.0,7.0,93.63632537566038
Rúben,Man City,DEF,55,3.42,1.9500000000000002,30.021052631578947,-3.12719298245614,8.186026446470137,49.0,4.0,93.44988609559294
Okafor,Leeds,MID,60,26.25,3.96,4.995029239766082,-0.0,1.2254548126551987,46.0,11.0,93.43048405242129
McGinn,Aston Villa,MID,55,15.0,12.330000000000002,3.7473684210526317,-0.0,1.3440597967913592,55.0,6.0,93.42142821784398
Brooks,Bournemouth,MID,50,29.049999999999997,10.2,3.8210526315789473,-0.0,1.5580184446327467,43.0,4.0,91.62907107621169
Bentancur,Spurs,MID,55,3.5999999999999996,2.52,5.497076023391813,-0.0,28.299490987816334,47.0,4.0,90.91656701120814
Brobbey,Sunderland,FWD,60,24.08,2.0100000000000002,0.0,-0.0,0.01138849247891945,52.0,12.0,90.10138849247892
Sangaré,Nott'm Forest,MID,50,5.8,5.4,3.636842105263158,-0.0,22.620069113364945,50.0,2.0,89.45691121862811
Xavi,Spurs,MID,60,15.3,11.55,5.1081871345029235,-0.0,3.4926738652568705,46.0,7.0,88.4508609997598
Tielemans,Man Utd,MID,60,5.699999999999999,9.78,4.886842105263158,-0.0,20.007538798246745,45.0,3.0,88.3743809035099
Smith Rowe,Fulham,MID,55,23.55,3.3600000000000003,2.232748538011696,-0.0,2.220323417155766,56.0,1.0,88.36307195516746
Murillo,Nott'm Forest,DEF,55,4.38,1.41,14.947368421052634,-5.605263157894737,22.15596713208051,48.0,3.0,88.2880723952384
Joelinton,Newcastle,MID,55,11.799999999999999,4.050000000000001,5.131578947368421,-0.0,18.152188518844987,47.0,2.0,88.13376746621341
