code,web_name,first_name,second_name,position,team,cost,status,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,xG,xAG,s90,team_name,old_team_name,s90_hist,cbit,recoveries,defcon_multiplier,is_mover,expected_defcon_points,xClean,xPoints
441164,Pedro Porro,Pedro,Porro Sauceda,DEF,19,55,a,,,1.0,6.0,1.05,4.37,31.033333333333335,Spurs,Spurs,31.033333333333335,218.0,132.0,1.0,False,10.6765864502605,8.799469388318785,58.831519785435205
244850,Rogers,Morgan,Rogers,MID,6,75,a,,,,,6.84,4.32,36.44444444444444,Chelsea,Aston Villa,36.44444444444444,91.0,139.0,1.0794607493325725,True,3.3037897940080856,8.232687211215962,58.359466417630415
227444,Milenković,Nikola,Milenković,DEF,18,55,a,,,,,0.83,0.68,37.5,Nott'm Forest,Nott'm Forest,37.5,311.0,107.0,1.0,False,24.027987503033575,6.91644527595093,58.34974517126092
494595,Wirtz,Florian,Wirtz,MID,14,75,a,,4.0,2.0,6.0,6.83,5.14,26.377777777777776,Liverpool,Liverpool,26.377777777777776,60.0,116.0,1.0,False,2.105078547632016,9.206912685583777,58.06607583288812
231416,F.Kadıoğlu,Ferdi,Kadıoğlu,DEF,5,45,a,,,,7.0,2.06,3.31,34.77777777777778,Brighton,Brighton,34.77777777777778,170.0,130.0,1.0,False,1.9442010286828588,9.236033102101386,58.045643846901974
496221,Wharton,Adam,Wharton,MID,8,55,d,75.0,,,5.0,1.52,7.47,28.355555555555554,Crystal Palace,Crystal Palace,28.355555555555554,140.0,163.0,1.0,False,21.73589257141291,7.824994251799617,57.58489413006572
244723,Mitchell,Tyrick,Mitchell,DEF,8,45,a,,,,,1.59,2.53,36.144444444444446,Crystal Palace,Crystal Palace,36.144444444444446,245.0,187.0,1.0,False,10.681271559670007,7.824994251799617,57.58285787675089
551226,Fernandes,Mateus,Fernandes,MID,19,60,a,,,,,1.99,2.96,33.522222222222226,Spurs,West Ham,33.522222222222226,187.0,182.0,1.0251177795841406,True,30.47900061573627,8.799469388318785,57.07157346502217
514254,Gomez,Diego,Gómez Amarilla,MID,5,50,a,,,5.0,,6.24,1.72,23.522222222222222,Brighton,Brighton,23.522222222222222,126.0,112.0,1.0,False,14.900450263787027,9.236033102101386,56.97760876587727
430871,Cunha,Matheus,Santos Carneiro da Cunha,MID,16,80,a,,,,,6.9,3.36,27.7,Man Utd,Man Utd,27.7,85.0,126.0,1.0,False,4.780783111444961,10.119135800339231,56.7371005237975
491279,Van de Ven,Micky,van de Ven,DEF,19,50,a,,,,,2.82,0.38,33.78888888888889,Spurs,Spurs,33.78888888888889,212.0,121.0,1.0,False,7.034495876608218,8.799469388318785,56.39178992324848
83299,Dunk,Lewis,Dunk,DEF,5,45,a,,,3.0,,1.83,0.56,31.522222222222222,Brighton,Brighton,31.522222222222222,231.0,135.0,1.0,False,12.878509363347362,9.236033102101386,56.18485545768845
220237,Botman,Sven,Botman,DEF,17,50,a,,,,,1.73,0.86,20.377777777777776,Newcastle,Newcastle,20.377777777777776,216.0,89.0,1.0,False,25.04546230674724,8.410057112543342,56.04528072125541
216051,Dalot,Diogo,Dalot Teixeira,DEF,16,50,a,,,,,1.93,2.57,28.988888888888887,Man Utd,Man Utd,28.988888888888887,180.0,135.0,1.0,False,5.744614082027512,10.119135800339231,55.9127723312498
466075,Calafiori,Riccardo,Calafiori,DEF,1,55,a,,,,,3.36,0.76,18.855555555555554,Arsenal,Arsenal,18.855555555555554,102.0,74.0,1.0,False,1.856152820131837,15.890859257734549,55.83625593168217
106760,Shaw,Luke,Shaw,DEF,16,45,a,,,,,0.72,1.98,35.77777777777778,Man Utd,Man Utd,35.77777777777778,224.0,105.0,1.0,False,7.373859984723936,10.119135800339231,55.743353876059984
466052,Cherki,Rayan,Cherki,MID,15,75,a,,,1.0,5.0,4.28,8.87,19.68888888888889,Man City,Man City,19.68888888888889,42.0,93.0,1.0,False,1.8561722282842934,11.180431996478585,55.6590744206118
224117,Gyökeres,Viktor,Gyökeres,FWD,1,75,a,,2.0,,,12.26,1.94,24.633333333333333,Arsenal,Arsenal,24.633333333333333,30.0,55.0,1.0,False,0.012551796247382977,15.890859257734549,54.872551796247386
448104,Hincapie,Piero,Hincapié,DEF,1,55,a,,,,,0.36,1.67,19.855555555555554,Arsenal,Arsenal,19.855555555555554,171.0,63.0,1.0,False,14.361201189257713,15.890859257734549,54.744026327937995
226182,Bogle,Jayden,Bogle,DEF,13,45,a,,,,,2.08,3.11,31.055555555555557,Leeds,Leeds,31.055555555555557,178.0,133.0,1.0,False,4.1421182119973405,8.629769008873161,54.16288356848914
50175,Welbeck,Danny,Welbeck,FWD,5,60,a,,1.0,1.0,,12.36,1.4,24.988888888888887,Brighton,Brighton,24.988888888888887,63.0,49.0,1.0,False,0.11637239672795396,9.236033102101386,53.756372396727954
209244,Foden,Phil,Foden,MID,15,70,a,,,3.0,4.0,6.03,4.76,23.08888888888889,Man City,Man City,23.08888888888889,58.0,102.0,1.0,False,2.3199410902413735,11.180431996478585,53.54319772435906
607464,Kayode,Michael,Kayode,DEF,4,45,a,,,,,1.28,2.89,36.2,Brentford,Brentford,36.2,219.0,163.0,1.0,False,6.326997796804681,8.020973864032173,53.24112978395886
487676,Hume,Trai,Hume,DEF,20,45,a,,,,5.0,2.27,2.05,33.68888888888889,Sunderland,Sunderland,33.68888888888889,203.0,102.0,1.0,False,5.774701195593098,7.765504479579292,53.0827240986158
486672,Caicedo,Moisés,Caicedo Corozo,MID,6,55,a,,,,,1.45,2.38,31.066666666666666,Chelsea,Chelsea,31.066666666666666,189.0,177.0,1.0,False,31.884046687997472,8.232687211215962,53.00462956593894
493250,Amad,Amad,Diallo,MID,16,60,a,,,,6.0,5.46,4.74,25.988888888888887,Man Utd,Man Utd,25.988888888888887,86.0,112.0,1.0,False,4.489670753472666,10.119135800339231,52.930331173646195
465351,Matheus N.,Matheus,Nunes,DEF,15,60,a,,5.0,,,0.34,2.23,31.788888888888888,Man City,Man City,31.788888888888888,195.0,166.0,1.0,False,5.942825178236916,11.180431996478585,52.08477364832491
