Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
71,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,1,12,4,33.3,1.43,0.48,0.08,0.25,17.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
72,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,3,14,4,28.6,0.40,0.12,0.21,0.75,11.6,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches
73,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,6,34,16,47.1,2.77,1.30,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,Matches
74,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,0,7,3,42.9,1.82,0.78,0.00,0.00,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
75,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,1,13,2,15.4,2.58,0.40,0.08,0.50,11.1,0,0,0,2.4,2.4,0.18,-1.4,-1.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,0,9,2,22.2,0.86,0.19,0.00,0.00,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
78,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,1,13,5,38.5,4.15,1.60,0.08,0.20,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches
79,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,2,26,6,23.1,2.30,0.53,0.08,0.33,14.1,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
80,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,4,28,11,39.3,1.12,0.44,0.14,0.36,21.8,0,0,0,1.9,1.9,0.07,+2.1,+2.1,Matches
81,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,6,43,14,32.6,3.10,1.01,0.12,0.36,19.2,11,1,1,5.0,4.2,0.10,+1.0,+0.8,Matches
82,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,0,5,0,0.0,0.61,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
83,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matches
85,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,0,13,3,23.1,0.70,0.16,0.00,0.00,14.3,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
86,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,2,23,5,21.7,0.76,0.17,0.09,0.40,8.1,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches
87,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
88,Mois̩s Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,1,13,4,30.8,0.41,0.13,0.08,0.25,29.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
89,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,1,17,8,47.1,1.03,0.48,0.06,0.13,21.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
90,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,7,71,28,39.4,2.94,1.16,0.07,0.18,13.9,1,2,2,12.9,11.4,0.16,-5.9,-6.4,Matches
91,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,0,10,1,10.0,0.50,0.05,0.00,0.00,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9,Matches
93,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,17.1,1,0,0,3.5,3.5,0.09,-2.5,-2.5,Matches
95,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,16.2,0,0,0,4.2,4.2,0.13,-2.2,-2.2,Matches
