Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
371,Bobby Reid,jm JAM,"FW,MF",Leicester City,31-332,1993,13,2,281,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,6,9,16,0.32,0.00,0.32,0.32,0.32,0.23,0.04,0.27,0.23,0.27,Matches
372,Chadi Riad,ma MAR,DF,Crystal Palace,21-196,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
373,Declan Rice,eng ENG,MF,Arsenal,25-351,1999,16,15,1282,14.2,1,3,4,1,0,0,5,1,1.2,1.2,3.7,4.9,41,96,41,0.07,0.21,0.28,0.07,0.28,0.09,0.26,0.34,0.09,0.34,Matches
374,Chris Richards,us USA,DF,Crystal Palace,24-277,2000,8,6,535,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
375,Richarlison,br BRA,FW,Tottenham,27-234,1997,5,0,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,4,5,12,0.00,1.00,1.00,0.00,1.00,0.19,0.76,0.95,0.19,0.95,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Andrew Robertson,sct SCO,DF,Liverpool,30-294,1994,17,16,1289,14.3,0,0,0,0,0,0,2,1,0.5,0.5,2.4,2.9,30,94,44,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.20,0.04,0.20,Matches
377,Antonee Robinson,us USA,"DF,FW",Fulham,27-144,1997,19,19,1710,19.0,0,7,7,0,0,0,4,0,0.5,0.5,3.0,3.4,62,71,144,0.00,0.37,0.37,0.00,0.37,0.03,0.16,0.18,0.03,0.18,Matches
378,Rodri,es ESP,MF,Manchester City,28-191,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
379,Guido RodrÃ­guez,ar ARG,MF,West Ham,30-262,1994,16,12,891,9.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,28,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
380,Mads Roerslev,dk DEN,DF,Brentford,25-189,1999,14,6,655,7.3,0,1,1,0,0,0,1,0,0.0,0.0,1.9,1.9,10,40,39,0.00,0.14,0.14,0.00,0.14,0.00,0.25,0.26,0.00,0.26,Matches
381,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-157,2002,18,18,1468,16.3,5,3,8,5,0,0,4,0,3.5,3.5,3.9,7.4,56,60,86,0.31,0.18,0.49,0.31,0.49,0.22,0.24,0.46,0.22,0.46,Matches
382,Cristian Romero,ar ARG,DF,Tottenham,26-247,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15,Matches
383,Georginio Rutter,fr FRA,"FW,MF",Brighton,22-254,2002,17,13,1004,11.2,2,2,4,2,0,0,2,0,2.7,2.7,1.3,4.1,28,42,53,0.18,0.18,0.36,0.18,0.36,0.24,0.12,0.36,0.24,0.36,Matches
384,JosÃ© SÃ¡,pt POR,GK,Wolves,31-348,1993,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
385,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-116,2001,16,16,1268,14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.30,0.41,0.71,0.24,0.65,Matches
386,Mohamed Salah,eg EGY,FW,Liverpool,32-198,1992,18,18,1582,17.6,17,13,30,13,4,4,1,0,15.4,12.3,7.5,19.8,71,66,209,0.97,0.74,1.71,0.74,1.48,0.88,0.43,1.30,0.70,1.13,Matches
387,William Saliba,fr FRA,DF,Arsenal,23-281,2001,17,17,1469,16.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.4,8,56,2,0.12,0.00,0.12,0.12,0.12,0.12,0.03,0.15,0.12,0.15,Matches
388,Robert SÃ¡nchez,es ESP,GK,Chelsea,27-042,1997,17,17,1530,17.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
389,Jadon Sancho,eng ENG,FW,Chelsea,24-280,2000,12,9,760,8.4,2,3,5,2,0,0,1,0,1.0,1.0,2.0,3.0,47,43,106,0.24,0.36,0.59,0.24,0.59,0.12,0.24,0.36,0.12,0.36,Matches
390,Ibrahim SangarÃ©,ci CIV,MF,Nott'ham Forest,27-028,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
391,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-233,1992,5,2,181,2.0,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.9,4,12,13,0.50,0.00,0.50,0.50,0.50,0.71,0.22,0.93,0.71,0.93,Matches
392,Jeremy Sarmiento,ec ECU,MF,Brighton,22-197,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
393,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,26-309,1998,19,12,1184,13.2,4,2,6,4,0,0,3,0,3.9,3.9,3.6,7.5,35,33,88,0.30,0.15,0.46,0.30,0.46,0.30,0.27,0.57,0.30,0.57,Matches
