,Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
249,Andreas Pereira,4.4,andreas hoelgebaum pereira,73.17073170731707,Andreas,Hoelgebaum Pereira,MID,50.0
254,Ethan Pinnock,1.9,ethan pinnock,100.0,Ethan,Pinnock,DEF,45.0
256,Pedro Porro,2.65,pedro porro,100.0,Pedro,Porro,DEF,55.0
259,Jacob Ramsey,1.8,jacob ramsey,100.0,Jacob,Ramsey,MID,54.0
260,Marcus Rashford,4.6,marcus rashford,100.0,Marcus,Rashford,MID,67.0
265,Bobby Reid,3.0,bobby clark,66.66666666666667,Bobby,Clark,MID,45.0
266,Declan Rice,2.8499999999999996,declan rice,100.0,Declan,Rice,MID,62.0
268,Richarlison,5.0,richarlison de andrade,66.66666666666667,Richarlison,de Andrade,FWD,68.0
269,Andrew Robertson,1.45,andrew robertson,100.0,Andrew,Robertson,DEF,59.0
271,Rodri,2.05,,,,,,
273,Morgan Rogers,4.2,morgan rogers,100.0,Morgan,Rogers,MID,54.0
274,Cristian Romero,2.85,cristian romero,100.0,Cristian,Romero,DEF,49.0
276,Bukayo Saka,8.8,bukayo saka,100.0,Bukayo,Saka,MID,103.0
277,Mohamed Salah,20.05,mohamed salah,100.0,Mohamed,Salah,MID,135.0
278,William Saliba,2.7,william saliba,100.0,William,Saliba,DEF,63.0
280,Jadon Sancho,1.0,jadon sancho,100.0,Jadon,Sancho,MID,62.0
282,Pablo Sarabia,3.3499999999999996,pablo sarabia,100.0,Pablo,Sarabia,MID,50.0
283,Kevin Schade,4.2,kevin schade,100.0,Kevin,Schade,MID,51.0
284,Fabian SchÃ¤r,2.45,fabian schar,92.3076923076923,Fabian,Schär,DEF,54.0
285,Jeffrey Schlupp,1.1,jeffrey schlupp,100.0,Jeffrey,Schlupp,MID,47.0
288,NÃ©lson Semedo,1.05,nelson cabral semedo,66.66666666666667,Nélson,Cabral Semedo,DEF,45.0
289,Antoine Semenyo,8.2,antoine semenyo,100.0,Antoine,Semenyo,MID,56.0
290,Marcos Senesi,1.8,marcos senesi,100.0,Marcos,Senesi,DEF,47.0
292,Bernardo Silva,4.550000000000001,fabio silva,64.0,Fábio,Silva,FWD,50.0
293,Luis Sinisterra,2.35,luis sinisterra,100.0,Luis,Sinisterra,MID,48.0
296,Emile Smith Rowe,3.2,emile smith rowe,100.0,Emile,Smith Rowe,MID,54.0
