id,text,created_at,edit_history_tweet_ids
1809062603030999505,"Argentina 1 : 1 Ecuador

▪ Pass directness: 27.6 - 29.7
▪ 10+ pass sequences: 11 - 8
▪ Goalkick length: 54.7 - 24.0
▪ Goalkick progr.: 38.1 - 32.3 https://t.co/2O0F0b8RuN",2024-07-05T03:11:49.000Z,['1809062603030999505']
1809062562312696174,"Argentina 1 : 1 Ecuador

▪ Penbox shots: 7 - 8
▪ Deep completions: 7 - 9
▪ Buildup completion: 84.7% - 81.4%
▪ PPDA: 6.3 - 8.7
▪ High turnovers: 4 - 0 https://t.co/ked53QkPD7",2024-07-05T03:11:40.000Z,['1809062562312696174']
1809062523788013952,"Argentina 1 : 1 Ecuador

▪ xG: 0.67 - 1.6
▪ xThreat: 1.21 - 0.95
▪ Possession: 50.7% - 49.3%
▪ Field Tilt: 58.5% - 41.5%
▪ Def Action Height: 49.4 - 43.5 https://t.co/sZEuoiIy5e",2024-07-05T03:11:31.000Z,['1809062523788013952']
1808337172015337562,"Costa Rica 2 : 1 Paraguay

▪ xG: 0.67 - 1.19
▪ xThreat: 0.61 - 1.5
▪ Possession: 33.2% - 66.8%
▪ Field Tilt: 13.0% - 87.0%
▪ Def Action Height: 35.7 - 51.7 https://t.co/IHMWCcmYVk",2024-07-03T03:09:13.000Z,['1808337172015337562']
1808337056835555786,"Davinson Sánchez vs. Brazil

Successful Passes: 37
Expected Threat: 0.1
Progression via pass: 3.91
Progression via carry: 1.19 https://t.co/lkZ6lqsjCA",2024-07-03T03:08:46.000Z,['1808337056835555786']
1808337046190407840,"Brazil 1 : 1 Colombia

▪ Pass directness: 33.1 - 28.1
▪ 10+ pass sequences: 14 - 12
▪ Goalkick length: 17.2 - 65.1
▪ Goalkick progr.: 41.8 - 23.5 https://t.co/ekseJlaAIM",2024-07-03T03:08:43.000Z,['1808337046190407840']
1808337003823747113,"Brazil 1 : 1 Colombia

▪ Penbox shots: 1 - 7
▪ Deep completions: 1 - 5
▪ Buildup completion: 84.0% - 83.0%
▪ PPDA: 7.6 - 7.2
▪ High turnovers: 4 - 6 https://t.co/wA8Hfu8Rzx",2024-07-03T03:08:33.000Z,['1808337003823747113']
1808336963814281233,"Brazil 1 : 1 Colombia

▪ xG: 0.21 - 1.77
▪ xThreat: 0.75 - 1.4
▪ Possession: 50.5% - 49.5%
▪ Field Tilt: 45.8% - 54.2%
▪ Def Action Height: 41.5 - 52.2 https://t.co/ObBPXPzYFH",2024-07-03T03:08:24.000Z,['1808336963814281233']
1808244983797014614,"Austria 1 : 2 Turkiye

▪ xG: 2.62 - 1.34
▪ xThreat: 3.12 - 1.12
▪ Possession: 60.3% - 39.7%
▪ Field Tilt: 83.7% - 16.3%
▪ Def Action Height: 42.1 - 41.7 https://t.co/HMXIhfYs9l",2024-07-02T21:02:54.000Z,['1808244983797014614']
1808198907698241858,"Stefan de Vrij vs. Romania

Successful Passes: 68
Expected Threat: 0.27
Progression via pass: 8.5
Progression via carry: 2.39 https://t.co/FM8QD2dElD",2024-07-02T17:59:48.000Z,['1808198907698241858']
