published_at,content
2024-06-30 02:02:12+00,Argentina 2 : 0 Peru  ▪ Pass directness: 31.0 - 37.7 ▪ 10+ pass sequences: 26 - 2 ▪ Goalkick length: 33.1 - 51.6 ▪ Goalkick progr.: 65.9 - 35.9 https://t.co/eB0gRujRH0
2024-06-30 02:02:15+00,Ángel Di María vs. Peru  Successful Passes: 41 Expected Threat: 0.32 Progression via pass: 4.8 Progression via carry: 1.8 https://t.co/zvJyfarCF0
2024-06-29 21:26:56+00,Germany 2 : 0 Denmark  ▪ xG: 2.53 - 1.2 ▪ xThreat: 1.7 - 1.24 ▪ Possession: 54.9% - 45.1% ▪ Field Tilt: 56.8% - 43.2% ▪ Def Action Height: 46.2 - 43.9 https://t.co/fxrysaYj0K
2024-06-29 21:27:16+00,Germany 2 : 0 Denmark  ▪ Pass directness: 33.1 - 34.7 ▪ 10+ pass sequences: 21 - 15 ▪ Goalkick length: 10.7 - 33.3 ▪ Goalkick progr.: 47.4 - 55.6 https://t.co/H0MCphMmQr
2024-06-29 21:27:20+00,Toni Kroos vs. Denmark  Successful Passes: 91 Expected Threat: 0.53 Progression via pass: 8.43 Progression via carry: 1.45 https://t.co/yKKoosTpVg
2024-06-29 17:57:23+00,Switzerland 2 : 0 Italy  ▪ xG: 1.31 - 0.77 ▪ xThreat: 1.23 - 0.79 ▪ Possession: 49.5% - 50.5% ▪ Field Tilt: 53.9% - 46.1% ▪ Def Action Height: 45.3 - 39.0 https://t.co/L6ueO0G3yF
2024-06-29 17:57:43+00,Switzerland 2 : 0 Italy  ▪ Pass directness: 29.0 - 20.8 ▪ 10+ pass sequences: 21 - 21 ▪ Goalkick length: 20.1 - 19.8 ▪ Goalkick progr.: 59.0 - 53.7 https://t.co/pD1ASX3oiB
2024-06-29 17:57:46+00,Alessandro Bastoni vs. Switzerland  Successful Passes: 62 Expected Threat: 0.18 Progression via pass: 4.42 Progression via carry: 4.12 https://t.co/dWOaTqIvYn
2024-06-29 02:56:46+00,Paraguay 1 : 4 Brazil  ▪ xG: 1.03 - 3.24 ▪ xThreat: 0.9 - 0.95 ▪ Possession: 45.4% - 54.6% ▪ Field Tilt: 45.1% - 54.9% ▪ Def Action Height: 41.4 - 43.1 https://t.co/zJFURWkA4p
2024-06-29 02:57:06+00,Paraguay 1 : 4 Brazil  ▪ Pass directness: 30.4 - 32.9 ▪ 10+ pass sequences: 10 - 21 ▪ Goalkick length: 49.9 - 27.0 ▪ Goalkick progr.: 51.7 - 36.4 https://t.co/ntIHZdhR3W
2024-06-29 02:57:09+00,Omar Alderete vs. Brazil  Successful Passes: 42 Expected Threat: 0.12 Progression via pass: 5.2 Progression via carry: 2.48 https://t.co/LiohzHqTGW
2024-06-29 02:56:56+00,Paraguay 1 : 4 Brazil  ▪ Penbox shots: 5 - 11 ▪ Deep completions: 5 - 5 ▪ Buildup completion: 85.7% - 85.6% ▪ PPDA: 8.9 - 10.7 ▪ High turnovers: 4 - 1 https://t.co/RlNFX6M83X
2024-06-29 00:06:36+00,Colombia 3 : 0 Costa Rica  ▪ xG: 2.38 - 0.23 ▪ xThreat: 1.98 - 0.54 ▪ Possession: 63.1% - 36.9% ▪ Field Tilt: 66.7% - 33.3% ▪ Def Action Height: 51.1 - 45.9 https://t.co/GkZFf4ojVG
2024-06-28 03:01:51+00,Uruguay 5 : 0 Bolivia  ▪ xG: 2.92 - 0.07 ▪ xThreat: 2.11 - 0.65 ▪ Possession: 59.5% - 40.5% ▪ Field Tilt: 81.2% - 18.8% ▪ Def Action Height: 57.2 - 34.9 https://t.co/5pznNyUzG9
2024-06-27 23:58:39+00,Panama 2 : 1 USA  ▪ xG: 1.0 - 1.08 ▪ xThreat: 1.5 - 0.87 ▪ Possession: 72.3% - 27.7% ▪ Field Tilt: 74.5% - 25.5% ▪ Def Action Height: 53.6 - 36.1 https://t.co/LtOIMbjWu5
2024-06-27 03:06:37+00,Venezuela 1 : 0 Mexico  ▪ xG: 1.23 - 2.93 ▪ xThreat: 0.69 - 1.49 ▪ Possession: 39.3% - 60.7% ▪ Field Tilt: 25.2% - 74.8% ▪ Def Action Height: 37.3 - 50.1 https://t.co/iZazioxgTG
2024-06-27 00:03:45+00,Ecuador 3 : 1 Jamaica  ▪ xG: 2.38 - 0.85 ▪ xThreat: 1.08 - 0.99 ▪ Possession: 45.3% - 54.7% ▪ Field Tilt: 50.0% - 50.0% ▪ Def Action Height: 49.7 - 45.5 https://t.co/d8ckT5d4lW
